# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
cheng ji 	成績	c=3 d=1.43734e-28 t=20166
cheng jie 	承接	c=1 d=2.22819e-14 t=20166
cheng le 	成了	c=2 d=0.00096827 t=20166
cheng lv 	成率	c=1 d=1.67131e-13 t=20166
cheng shou 	承受	c=2 d=2.11952e-14 t=20166
cheng shu 	成熟	c=1 d=1.04025e-23 t=20166
cheng wei 	成爲	c=1 d=0.0366992 t=20166
cheng wei 	稱爲	c=4 d=0.0365198 t=20166
cheng wei le 	成爲了	c=1 d=2.02867e-28 t=20166
cheng xian 	呈現	c=1 d=6.86215e-12 t=20166
cheng xiao 	成效	c=0 d=1.19987e-27 t=20166
cheng xu 	程序	c=16 d=0.17558 t=20166
cheng zai 	承載	c=4 d=1.43878e-14 t=20166
cheng zhi wei 	稱之爲	c=1 d=0.0350844 t=20166
cheng zhong cun 	城中村	c=1 d=6.01723e-25 t=20166
cheng zuo 	稱作	c=1 d=3.08012e-29 t=20166
chi 	喫	c=7 d=0.00319944 t=20166
chi 	池	c=0 d=1.14809e-08 t=20166
chi bao 	喫飽	c=1 d=8.58604e-31 t=20166
chi bei 	喫唄	c=1 d=0.256661 t=20166
chi bu chi 	喫不恥	c=1 d=4.03004e-15 t=20166
chi cun 	尺寸	c=1 d=3.54611e-10 t=20166
chi da mei le 	喫達美樂	c=1 d=2.43257e-17 t=20166
chi de 	喫得	c=1 d=2.07968e-26 t=20166
chi fan 	喫飯	c=1 d=1.09115e-26 t=20166
chi fan ma 	喫飯嗎	c=1 d=1.66955e-30 t=20166
chi guo 	喫過	c=1 d=5.27651e-09 t=20166
chi ha 	喫哈	c=1 d=7.06129e-25 t=20166
chi jiu 	持久	c=0 d=2.9294e-28 t=20166
chi jiu hua 	持久化	c=1 d=2.94408e-27 t=20166
chi le 	喫了	c=0 d=5.23932e-15 t=20166
chi le 	遲了	c=0 d=5.65911e-10 t=20166
chi le ma 	喫了嗎	c=1 d=1.08776e-19 t=20166
chi le yi ge 	喫了一個	c=1 d=5.26558e-14 t=20166
chi li 	喫力	c=0 d=8.1155e-16 t=20166
chi ma 	尺碼	c=0 d=0.025924 t=20166
chi rou 	喫肉	c=1 d=4.65651e-09 t=20166
chi sha 	喫啥	c=0 d=2.40836e-18 t=20166
chi sha ne 	喫啥呢	c=1 d=2.42043e-17 t=20166
chi shen me 	吃什麼	c=0 d=1.73768e-31 t=20166
chi xu 	持續	c=3 d=0.899785 t=20166
chong 	衝	c=1 d=2.13124e-20 t=20166
chong 	重	c=1 d=1.27078e-25 t=20166
chong dian 	充電	c=1 d=0.000232276 t=20166
chong fu 	重複	c=4 d=8.49546e-13 t=20166
chong ge zhi 	衝個值	c=1 d=6.85259e-25 t=20166
chong tu 	衝突	c=1 d=2.04099e-11 t=20166
chong xin 	重新	c=7 d=0.00272578 t=20166
chou de 	臭的	c=1 d=5.27096e-26 t=20166
chou li 	抽離	c=1 d=2.85018e-28 t=20166
chou qu 	抽取	c=2 d=0.00106548 t=20166
chou xiang 	抽象	c=2 d=6.75884e-10 t=20166
chu 	出	c=12 d=0.175104 t=20166
chu 	初	c=1 d=0.000422213 t=20166
chu 	處	c=1 d=2.55112e-18 t=20166
chu 	除	c=1 d=0.00898153 t=20166
chu bu 	初步	c=1 d=6.53415e-24 t=20166
chu chang 	出廠	c=1 d=1.59007e-15 t=20166
chu chu 	楚楚	c=1 d=3.73427e-30 t=20166
chu de 	出的	c=1 d=1.86533e-11 t=20166
chu dian 	觸點	c=1 d=4.76368e-12 t=20166
chu fa 	出發	c=3 d=0.282239 t=20166
chu fa 	觸發	c=1 d=2.1287e-06 t=20166
chu fa qi 	觸發器	c=1 d=5.45221e-12 t=20166
chu kou 	出口	c=1 d=1.73054e-11 t=20166
chu lai 	出來	c=7 d=0.00115923 t=20166
chu lai de 	出來的	c=4 d=0.0199405 t=20166
chu lai le 	出來了	c=2 d=2.69912e-05 t=20166
chu lai ma 	出來嗎	c=1 d=9.24531e-19 t=20166
chu le 	除了	c=14 d=0.000732045 t=20166
chu le yi ci 	除了一次	c=1 d=4.86571e-26 t=20166
chu li 	處理	c=12 d=0.000380129 t=20166
chu li shang 	處理上	c=1 d=6.76805e-26 t=20166
chu ma 	出馬	c=0 d=2.41961e-14 t=20166
chu men 	出門	c=2 d=0.0161907 t=20166
chu ming 	出名	c=2 d=3.61713e-08 t=20166
chu qi 	初七	c=1 d=0.000455097 t=20166
chu qu 	出去	c=1 d=2.41837e-08 t=20166
chu ru 	出入	c=2 d=0.084163 t=20166
chu wen ti 	出問題	c=7 d=4.94834e-10 t=20166
chu wen ti le 	出問題了	c=1 d=3.16088e-10 t=20166
chu wen ti qian 	出問題前	c=1 d=6.13148e-11 t=20166
chu xian 	出現	c=12 d=0.694216 t=20166
chu xian le 	出現了	c=2 d=0.384812 t=20166
chu xian zai 	出現在	c=1 d=2.87687e-20 t=20166
chu xin pin le 	出新品了	c=1 d=8.26932e-30 t=20166
chu xing 	雛形	c=2 d=0.22313 t=20166
chu yu 	出於	c=2 d=0.133989 t=20166
chu yu 	處於	c=1 d=0.13466 t=20166
chu zhi 	處置	c=1 d=1.95052e-07 t=20166
chu zi yu 	出自於	c=1 d=2.73656e-20 t=20166
chua 	欻	c=0 d=6.93702e-23 t=20166
chuan 	串	c=1 d=1.43406e-06 t=20166
chuan di 	傳遞	c=1 d=7.42989e-06 t=20166
chuan gei 	傳給	c=1 d=3.61148e-19 t=20166
chuan lian 	串聯	c=1 d=7.17678e-10 t=20166
chuan ran 	傳染	c=0 d=2.39472e-10 t=20166
chuan ran sha 	傳染啥	c=1 d=2.40672e-09 t=20166
chuan ru 	傳入	c=1 d=1.87953e-12 t=20166
chuan suo 	穿梭	c=1 d=0.514274 t=20166
chuan tong de 	傳統的	c=1 d=1.46957e-29 t=20166
chuang ban 	創辦	c=1 d=8.52579e-07 t=20166
chuang jian 	創建	c=4 d=4.56741e-17 t=20166
chuang jian yi ge 	創建一個	c=1 d=4.41032e-17 t=20166
chuang kou 	窗口	c=2 d=6.7889e-09 t=20166
chuang shang 	牀上	c=1 d=3.69208e-14 t=20166
chuang xin 	創新	c=1 d=1.80056e-07 t=20166
chui bao 	吹爆	c=1 d=1.11913e-30 t=20166
chui de 	吹的	c=2 d=4.39818e-14 t=20166
chui hou 	吹後	c=1 d=0.00116504 t=20166
chui xu 	吹噓	c=1 d=3.21302e-26 t=20166
chui zhi 	垂直	c=0 d=2.3509e-28 t=20166
chui zhi kuo zhan 	垂直擴展	c=1 d=2.36268e-27 t=20166
chun cui 	純粹	c=1 d=1.71333e-11 t=20166
chun tao 	春濤	c=1 d=6.11773e-14 t=20166
chun tian 	春天	c=1 d=1.32701e-05 t=20166
chuo 	戳	c=3 d=6.83505e-09 t=20166
ci 	次	c=7 d=0.00116829 t=20166
ci 	詞	c=3 d=0.00271219 t=20166
ci chu 	此處	c=1 d=0.00621991 t=20166
ci hui 	詞彙	c=1 d=3.14405e-06 t=20166
ci ku 	詞庫	c=3 d=5.54539e-05 t=20166
ci pan 	磁盤	c=2 d=0.0309618 t=20166
ci wai 	此外	c=1 d=6.34772e-07 t=20166
cong 	從	c=66 d=1.03584 t=20166
cong 	蔥	c=0 d=0.000319873 t=20166
cong lai 	從來	c=3 d=2.95431e-09 t=20166
cong lai mei 	從來沒	c=0 d=1.34982e-30 t=20166
cong lai mei zhong guo jiang 	從來沒中過獎	c=1 d=1.35658e-29 t=20166
cong li lun 	從理論	c=1 d=7.22135e-24 t=20166
cong mei 	從沒	c=1 d=2.46681e-05 t=20166
cong ming 	聰明	c=1 d=0.000395642 t=20166
cong na 	從哪	c=2 d=3.12241e-13 t=20166
cong ren 	從人	c=1 d=4.62054e-06 t=20166
cong shang 	從上	c=1 d=2.83066e-06 t=20166
cong tou 	從頭	c=3 d=6.66044e-06 t=20166
cong you ban mian 	蔥油拌麪	c=1 d=0.00321477 t=20166
cong zhe ge 	從這個	c=2 d=1.90943e-13 t=20166
cong zhe li 	從這裏	c=1 d=4.30582e-29 t=20166
cu cao 	粗糙	c=1 d=1.37853e-12 t=20166
cu jia gong 	粗加工	c=1 d=0.00120654 t=20166
cu lie 	粗劣	c=1 d=1.33893e-22 t=20166
cu lve 	粗略	c=1 d=0.00264522 t=20166
cui 	催	c=2 d=2.7981e-09 t=20166
cui ni 	催你	c=2 d=2.59625e-09 t=20166
cun 	存	c=5 d=0.481451 t=20166
cun 	寸	c=2 d=0.0290133 t=20166
cun 	村	c=0 d=6.45353e-26 t=20166
cun bu qi lai 	存不起來	c=1 d=9.54666e-14 t=20166
cun cai 	村才	c=1 d=3.52782e-08 t=20166
cun chu 	存儲	c=6 d=5.4791e-08 t=20166
cun le 	存了	c=1 d=6.44914e-17 t=20166
cun li 	村裏	c=1 d=2.3489e-17 t=20166
cun qi lai 	存起來	c=1 d=9.26924e-20 t=20166
cun zai 	存在	c=2 d=3.82229e-10 t=20166
cuo 	搓	c=1 d=1.88209e-28 t=20166
cuo 	錯	c=0 d=7.28997e-11 t=20166
cuo le 	錯了	c=1 d=4.13347e-19 t=20166
cuo wu 	錯誤	c=4 d=1.08646e-05 t=20166
cuo yi duan 	錯一段	c=1 d=3.6541e-10 t=20166
cuo yi dun 	錯一頓	c=1 d=3.67242e-10 t=20166
da 	大	c=10 d=9.49398e-08 t=20166
da 	打	c=4 d=0.00189738 t=20166
da 	搭	c=2 d=1.84169e-12 t=20166
da 	達	c=1 d=8.39886e-07 t=20166
da an 	答案	c=5 d=0.602091 t=20166
da bao 	大包	c=2 d=2.43902e-11 t=20166
da bo 	大波	c=1 d=1.10686e-18 t=20166
da bu 	大步	c=0 d=7.87432e-14 t=20166
da bu fen 	大部分	c=1 d=6.09882e-07 t=20166
da bu ka 	大步卡	c=1 d=7.91379e-13 t=20166
da bu kai 	打不開	c=2 d=5.55951e-06 t=20166
da cai 	大才	c=0 d=1.07083e-12 t=20166
da cai yuan 	大才元	c=1 d=1.0762e-11 t=20166
da cheng 	達成	c=1 d=1.79249e-14 t=20166
da dan jian 	大單間	c=1 d=1.01212e-24 t=20166
da dao 	達到	c=3 d=2.63275e-08 t=20166
da dao le 	達到了	c=1 d=1.49335e-12 t=20166
da dao mu di 	達到目的	c=1 d=1.64357e-22 t=20166
da de 	大的	c=1 d=6.35312e-17 t=20166
da de hua 	打的話	c=1 d=3.83284e-13 t=20166
da dian 	打點	c=3 d=1.29768e-15 t=20166
da dian hua 	打電話	c=1 d=7.61514e-31 t=20166
da duo 	大多	c=3 d=6.35582e-25 t=20166
da duo shu 	大多數	c=3 d=0.0258615 t=20166
da fu 	大副	c=1 d=1.08458e-14 t=20166
da gai 	大概	c=10 d=0.0181811 t=20166
da gai lv 	大概率	c=1 d=3.43242e-09 t=20166
da gang 	大綱	c=0 d=4.38072e-27 t=20166
da ge 	打個	c=0 d=8.27241e-06 t=20166
da ge bi fang 	打個比方	c=1 d=8.31387e-05 t=20166
da gong 	打工	c=1 d=0.0256042 t=20166
da gong cheng 	大工程	c=1 d=5.2015e-17 t=20166
da guo 	大國	c=1 d=5.43721e-09 t=20166
da huo 	大夥	c=1 d=1.59695e-07 t=20166
da jia 	大家	c=20 d=0.00406655 t=20166
da jian 	搭建	c=1 d=0.0223708 t=20166
da ka 	打卡	c=1 d=9.0327e-10 t=20166
da kai 	打開	c=9 d=0.00625109 t=20166
da kai yan jie 	大开眼界	c=1 d=2.09159e-05 t=20166
da le 	大了	c=0 d=4.77017e-29 t=20166
da lei 	大類	c=2 d=5.20674e-13 t=20166
da liang 	大量	c=3 d=4.73831e-08 t=20166
da mo 	打磨	c=0 d=0.088692 t=20166
da mo hao 	打磨好	c=1 d=0.891366 t=20166
da nao 	大腦	c=0 d=1.26379e-20 t=20166
da ping 	大屏	c=0 d=9.94472e-25 t=20166
da po 	打破	c=1 d=5.77343e-09 t=20166
da qun 	大羣	c=1 d=3.47648e-12 t=20166
da san 	打傘	c=0 d=9.22458e-23 t=20166
da sao 	打掃	c=0 d=1.7455e-25 t=20166
da shu ju 	大數據	c=4 d=0.00108086 t=20166
da suan 	打算	c=10 d=1.10326e-09 t=20166
da ting 	打聽	c=1 d=0.000246044 t=20166
da xiang 	大象	c=1 d=2.67226e-05 t=20166
da xiao 	大小	c=1 d=6.40586e-26 t=20166
da xiao 	打消	c=0 d=8.80968e-11 t=20166
da xiao le 	打消了	c=1 d=8.85384e-10 t=20166
da xiao xie 	大小寫	c=1 d=5.04262e-05 t=20166
da xie 	大寫	c=1 d=2.52316e-06 t=20166
da xie 	答謝	c=2 d=3.04078e-06 t=20166
da xue 	大學	c=2 d=4.29704e-05 t=20166
da yi dian 	大一點	c=1 d=0.00449405 t=20166
da yin 	打印	c=2 d=7.17457e-28 t=20166
da yu 	大於	c=1 d=1.91287e-13 t=20166
da zhang jia 	打漲價	c=1 d=0.0131019 t=20166
da zhang qi gu 	大张旗鼓	c=1 d=2.19427e-10 t=20166
da zhe 	打折	c=1 d=1.38615e-18 t=20166
da zhi 	大致	c=1 d=1.15962e-07 t=20166
da zi 	打字	c=2 d=1.06332e-11 t=20166
dai 	代	c=1 d=1.05982e-07 t=20166
dai 	帶	c=2 d=0.0278269 t=20166
dai 	待	c=1 d=5.48047e-14 t=20166
dai 	戴	c=0 d=0.00026189 t=20166
dai biao 	代表	c=7 d=0.00101561 t=20166
dai hui 	待會	c=4 d=2.70749e-12 t=20166
dai kuan 	貸款	c=4 d=5.7298e-08 t=20166
dai lai 	帶來	c=1 d=2.1672e-11 t=20166
dai lai de 	帶來的	c=1 d=1.02194e-20 t=20166
dai li 	代理	c=2 d=5.03217e-10 t=20166
dai ma 	代嗎	c=3 d=3.81142e-24 t=20166
dai ma 	代碼	c=1 d=1.14935e-11 t=20166
dai ma shang 	代碼上	c=1 d=3.82685e-24 t=20166
dai mao zi 	戴帽子	c=1 d=9.22458e-22 t=20166
dai ru 	帶入	c=2 d=1.96355e-17 t=20166
dai sen le ma 	帶森了嗎	c=1 d=0.00778933 t=20166
dai sen qiu ji hua 	戴森球計劃	c=1 d=0.00263203 t=20166
dai shang 	帶上	c=2 d=2.06045e-05 t=20166
dai wo qu 	帶我去	c=1 d=5.08101e-06 t=20166
dai zou 	帶走	c=0 d=0.0075774 t=20166
dan 	但	c=9 d=0.0372546 t=20166
dan 	單	c=3 d=0.00214418 t=20166
dan bo 	單薄	c=1 d=2.72764e-11 t=20166
dan chun 	單純	c=1 d=7.40794e-30 t=20166
dan du de 	單獨地	c=1 d=0.0181334 t=20166
dan ge 	單個	c=3 d=1.26075e-14 t=20166
dan jian 	單間	c=1 d=1.68801e-24 t=20166
dan shi 	但是	c=57 d=0.334447 t=20166
dan shi yi xiang dao 	但是一想到	c=1 d=3.75631e-11 t=20166
dan wei 	單位	c=3 d=3.67429e-10 t=20166
dan xin 	擔心	c=1 d=6.85945e-05 t=20166
dan yi 	單一	c=1 d=1.27211e-08 t=20166
dan you 	但又	c=0 d=0.0467666 t=20166
dan you 	擔憂	c=2 d=7.37374e-05 t=20166
dan you hao xiang 	但又好像	c=1 d=0.470011 t=20166
dang 	當	c=9 d=0.297097 t=20166
dang ban 	擋板	c=1 d=1.00361e-13 t=20166
dang chang 	當場	c=1 d=7.99332e-13 t=20166
dang cheng 	當成	c=1 d=0.00109719 t=20166
dang chu 	當初	c=1 d=5.1197e-07 t=20166
dang dang 	噹噹	c=1 d=0.585669 t=20166
dang ji 	宕機	c=2 d=1.01866e-15 t=20166
dang mian 	當面	c=3 d=3.65245e-05 t=20166
dang ni 	當你	c=2 d=1.12967e-06 t=20166
dang qian 	當前	c=7 d=0.00221464 t=20166
dang ran 	當然	c=4 d=5.55951e-06 t=20166
dang ran shi 	當然是	c=1 d=3.1696e-13 t=20166
dang shi 	當時	c=1 d=1.81112e-17 t=20166
dang tian 	當天	c=1 d=7.5617e-07 t=20166
dang wo 	當我	c=4 d=0.651834 t=20166
dao 	倒	c=1 d=4.21338e-09 t=20166
dao 	到	c=50 d=0.74549 t=20166
dao 	導	c=3 d=0.0735345 t=20166
dao chu 	導出	c=5 d=0.00209124 t=20166
dao ci 	到此	c=1 d=0.826959 t=20166
dao ci wei zhi 	到此為止	c=0 d=3.42472e-13 t=20166
dao ci wei zhi le 	到此為止了	c=1 d=3.44189e-12 t=20166
dao de za yang 	到的咋樣	c=1 d=1.14135e-26 t=20166
dao dian 	到點	c=0 d=2.35217e-05 t=20166
dao dian er 	到點兒	c=1 d=4.21482e-13 t=20166
dao dian le 	到點了	c=1 d=0.000236397 t=20166
dao gu 	搗鼓	c=0 d=0.000166156 t=20166
dao gu dao gu 	搗鼓搗鼓	c=1 d=0.00166989 t=20166
dao gua 	倒掛	c=1 d=3.58577e-18 t=20166
dao hang 	道行	c=1 d=3.76667e-14 t=20166
dao jia 	到家	c=0 d=5.08101e-07 t=20166
dao jia le ma 	到家了嗎	c=1 d=5.10648e-06 t=20166
dao le 	到了	c=4 d=1.32743e-06 t=20166
dao le ba 	到了吧	c=1 d=2.58343e-19 t=20166
dao li 	道理	c=3 d=2.39799e-08 t=20166
dao qi 	到期	c=1 d=4.81074e-10 t=20166
dao ru 	導入	c=1 d=7.53808e-29 t=20166
dao shi 	倒是	c=7 d=0.00970611 t=20166
dao shi 	導師	c=1 d=0.0196437 t=20166
dao shi hou 	到時候	c=14 d=0.000228268 t=20166
dao shi ke yi 	倒是可以	c=1 d=1.65294e-30 t=20166
dao shou 	到手	c=1 d=4.44768e-28 t=20166
dao wan shang 	到晚上	c=1 d=5.31941e-16 t=20166
dao wei 	到位	c=1 d=2.19396e-19 t=20166
dao xia 	倒下	c=1 d=2.84485e-06 t=20166
dao xian zai 	到現在	c=1 d=1.00293e-05 t=20166
dao ye 	倒也	c=0 d=1.04945e-10 t=20166
dao ye mei jian ni 	倒也沒見你	c=1 d=1.05471e-09 t=20166
dao zhe li 	到這裏	c=1 d=2.56129e-06 t=20166
dao zhe yi bu 	到這一步	c=1 d=1.71303e-09 t=20166
dao zhi 	導致	c=4 d=0.000332125 t=20166
de 	地	c=2 d=0.0366045 t=20166
de 	的	c=1152 d=15.1708 t=20166
de chu 	得出	c=1 d=8.68e-12 t=20166
de da an 	的答案	c=1 d=5.74365e-07 t=20166
de dao 	得到	c=9 d=0.327915 t=20166
de dao le 	得到了	c=4 d=1.07934 t=20166
de gu shi 	的故事	c=0 d=0.0980199 t=20166
de guan xi 	的關係	c=1 d=1.38809e-05 t=20166
de hua 	的話	c=24 d=0.121645 t=20166
de lei 	得肋	c=3 d=0.151829 t=20166
de liao 	得了	c=1 d=7.24004e-25 t=20166
de ma 	的嗎	c=9 d=0.000265212 t=20166
de mei 	的沒	c=1 d=3.01297e-05 t=20166
de na zhong 	的那種	c=1 d=4.78171e-27 t=20166
de ren 	的人	c=1 d=2.33497e-10 t=20166
de shi hou 	的時候	c=6 d=0.150109 t=20166
de wen ti 	的問題	c=1 d=3.68255e-13 t=20166
de wu 	得無	c=0 d=2.86798e-14 t=20166
de ya 	的呀	c=1 d=3.27002e-27 t=20166
de yi tian tian 	的一天天	c=1 d=2.22275e-44 t=20166
de yi yu 	得益於	c=1 d=9.25318e-29 t=20166
dei 	得	c=5 d=0.144424 t=20166
deng 	登	c=0 d=0.000190171 t=20166
deng 	等	c=11 d=0.150415 t=20166
deng dou hei le 	燈都黑了	c=1 d=4.98379e-14 t=20166
deng hao 	等號	c=1 d=1.95378e-08 t=20166
deng hui 	等會	c=1 d=0.00634556 t=20166
deng ji 	登記	c=1 d=3.51082e-10 t=20166
deng jia 	等價	c=3 d=5.23733e-20 t=20166
deng liang 	等量	c=1 d=4.753e-15 t=20166
deng lu 	登錄	c=0 d=2.98502e-14 t=20166
deng lu 	登陸	c=0 d=1.90301e-12 t=20166
deng ni 	等你	c=1 d=4.59906e-10 t=20166
deng ta 	等他	c=1 d=7.58514e-14 t=20166
deng wo 	等我	c=2 d=7.46967e-10 t=20166
deng xia 	燈下	c=1 d=0.26982 t=20166
deng xia 	等下	c=1 d=0.271173 t=20166
deng yu 	等於	c=1 d=0.000455097 t=20166
di 	低	c=2 d=0.0230475 t=20166
di 	地	c=1 d=0.0160914 t=20166
di 	底	c=2 d=0.00168667 t=20166
di 	滴	c=2 d=0.955997 t=20166
di 	第	c=1 d=0.00546167 t=20166
di ban ben 	低版本	c=1 d=0.154896 t=20166
di ban ben 	地版本	c=1 d=0.154124 t=20166
di ceng 	地層	c=1 d=2.73842e-28 t=20166
di ceng 	底層	c=3 d=8.33971e-28 t=20166
di di 	滴滴	c=1 d=2.17873e-44 t=20166
di dian 	滴點	c=1 d=1.19514e-09 t=20166
di diao 	低調	c=0 d=9.89344e-23 t=20166
di diao di diao 	低調低調	c=1 d=9.94303e-22 t=20166
di er 	第二	c=2 d=4.79569e-16 t=20166
di er bu 	第二部	c=1 d=3.35166e-23 t=20166
di er ci 	第二次	c=1 d=3.74916e-18 t=20166
di er da nao 	第二大腦	c=1 d=1.27013e-19 t=20166
di er jie duan 	第二階段	c=1 d=2.03676e-16 t=20166
di er qi 	第二期	c=4 d=1.44966e-08 t=20166
di er tian 	第二天	c=2 d=0.163641 t=20166
di er tiao 	第二條	c=1 d=0.218712 t=20166
di er zu 	第二組	c=3 d=9.90793e-15 t=20166
di fang 	地方	c=10 d=0.606196 t=20166
di gui 	遞歸	c=1 d=1.05708e-06 t=20166
di qu 	地區	c=1 d=0.436049 t=20166
di qu ma 	地區碼	c=1 d=1.57072e-18 t=20166
di que 	的確	c=1 d=1.82051e-19 t=20166
di san bu 	第三步	c=3 d=1.02159e-16 t=20166
di san fang 	第三方	c=5 d=4.44643e-07 t=20166
di san zhang 	第三章	c=1 d=9.66592e-13 t=20166
di si bu 	第四步	c=1 d=1.08476e-16 t=20166
di tie zhan 	地鐵站	c=1 d=7.58127e-08 t=20166
di tou she 	地头蛇	c=1 d=4.976e-25 t=20166
di tu 	地圖	c=1 d=2.98632e-05 t=20166
di wei 	地位	c=2 d=1.79932e-07 t=20166
di wu 	第五	c=0 d=1.15184e-17 t=20166
di wu bu 	第五步	c=1 d=1.15761e-16 t=20166
di xia 	地下	c=1 d=9.9258e-31 t=20166
di xia 	底下	c=1 d=1.00256e-30 t=20166
di yi 	第一	c=2 d=0.293758 t=20166
di yi bu 	第一步	c=5 d=0.00105946 t=20166
di yi ci 	第一次	c=4 d=4.199e-07 t=20166
di yi ge 	第一個	c=1 d=3.26724e-17 t=20166
di yi gu 	第一股	c=1 d=0.00663763 t=20166
di yi jie duan 	第一階段	c=1 d=1.741e-23 t=20166
di yi zu 	第一組	c=3 d=9.85851e-15 t=20166
di zhi 	地址	c=4 d=1.21951e-09 t=20166
dian 	店	c=1 d=0.00101791 t=20166
dian 	點	c=18 d=0.12495 t=20166
dian ban 	點半	c=0 d=3.29952e-16 t=20166
dian bu liao ma 	點不了嗎	c=1 d=1.40978e-11 t=20166
dian chi 	電池	c=2 d=9.52039e-11 t=20166
dian cuo le 	點錯了	c=1 d=0.00404611 t=20166
dian de 	點的	c=2 d=1.45275e-11 t=20166
dian de ren 	點的人	c=1 d=2.3473e-09 t=20166
dian dong che 	電動車	c=1 d=2.27437e-20 t=20166
dian duo 	掂掇	c=1 d=0.280832 t=20166
dian er 	點兒	c=0 d=0.00259911 t=20166
dian gu 	典故	c=2 d=0.397827 t=20166
dian hao 	點好	c=1 d=9.67744e-27 t=20166
dian hua 	電話	c=2 d=0.335611 t=20166
dian ji 	惦記	c=1 d=6.02562e-12 t=20166
dian jin qu 	點進去	c=1 d=0.00019549 t=20166
dian le yi bei 	點了一杯	c=1 d=2.23282e-09 t=20166
dian liu 	電流	c=3 d=0.000294066 t=20166
dian ming 	點明	c=1 d=2.22668e-06 t=20166
dian nao 	電腦	c=8 d=0.00329338 t=20166
dian nao ke 	電腦課	c=0 d=3.88812e-06 t=20166
dian nao shang 	電腦上	c=1 d=0.0128424 t=20166
dian ping 	電平	c=1 d=2.14192e-20 t=20166
dian ping 	電瓶	c=1 d=3.69397e-20 t=20166
dian ping che 	電瓶車	c=1 d=2.25174e-20 t=20166
dian qian 	點錢	c=0 d=8.80518e-05 t=20166
dian sha 	碘殺	c=0 d=0.00262523 t=20166
dian shi he 	電視盒	c=1 d=5.50888e-16 t=20166
dian ya 	電壓	c=3 d=0.000295264 t=20166
dian ying 	電影	c=1 d=2.40787e-44 t=20166
dian zi 	電子	c=2 d=3.44845e-06 t=20166
dian zi chan pin 	電子產品	c=1 d=0.000921047 t=20166
dian zi ke 	電子課	c=1 d=3.46574e-05 t=20166
dian zi shu 	電子書	c=1 d=2.84533e-08 t=20166
dian zu 	電阻	c=4 d=0.000383184 t=20166
diao 	掉	c=1 d=0.035437 t=20166
diao 	調	c=1 d=3.90416e-24 t=20166
diao dong 	調動	c=1 d=3.90827e-07 t=20166
diao yong 	調用	c=7 d=0.00213666 t=20166
die 	爹	c=2 d=0.0010333 t=20166
die dai 	迭代	c=3 d=2.09315e-06 t=20166
die jia 	疊加	c=2 d=0.985112 t=20166
die ma 	爹媽	c=1 d=1.30769e-09 t=20166
ding 	定	c=3 d=9.82722e-06 t=20166
ding 	盯	c=2 d=3.47025e-17 t=20166
ding dan 	訂單	c=8 d=2.25236e-15 t=20166
ding dan jiao yi 	訂單交易	c=1 d=2.5157e-30 t=20166
ding duo 	頂多	c=1 d=4.0747e-27 t=20166
ding qi 	定期	c=2 d=1.02671e-16 t=20166
ding shi 	定時	c=2 d=0.00586164 t=20166
ding tou 	頂頭	c=1 d=4.88511e-14 t=20166
ding wei 	定位	c=1 d=0.00219846 t=20166
ding yi 	定義	c=15 d=0.0667494 t=20166
ding yi zai 	定義在	c=1 d=1.30565e-20 t=20166
ding yue 	訂閱	c=2 d=0.0011371 t=20166
ding zhe 	盯着	c=1 d=0.000466618 t=20166
ding zhi 	定製	c=1 d=4.35146e-06 t=20166
dns 	DNS	c=1 d=5.27472e-05 t=20166
dong 	動	c=1 d=0.000169103 t=20166
dong 	懂	c=1 d=1.26599e-10 t=20166
dong 	洞	c=1 d=1.22623e-17 t=20166
dong bu dong 	動不動	c=1 d=9.71272e-11 t=20166
dong ci 	動詞	c=1 d=1.07397e-16 t=20166
dong le 	懂了	c=2 d=0.00694315 t=20166
dong li 	動力	c=1 d=2.70933e-20 t=20166
dong tian 	冬天	c=0 d=4.51812e-08 t=20166
dong tian le 	冬天了	c=1 d=4.54077e-07 t=20166
dong wu 	動物	c=1 d=8.06515e-30 t=20166
dong xi 	東西	c=38 d=1.03508 t=20166
dota 	DOTA	c=1 d=0.00035443 t=20166
dou 	抖	c=1 d=9.61607e-11 t=20166
dou 	都	c=51 d=0.700481 t=20166
dou ban 	豆瓣	c=5 d=0.951229 t=20166
dou bei 	都被	c=1 d=2.91082e-11 t=20166
dou bi 	都比	c=2 d=0.00144449 t=20166
dou bu ai 	都不愛	c=1 d=0.133989 t=20166
dou bu cuo 	都不錯	c=1 d=0.00226541 t=20166
dou bu hui le 	都不會了	c=1 d=0.0203434 t=20166
dou bu lv you 	都不旅遊	c=1 d=1.13119e-09 t=20166
dou bu tong 	都不同	c=1 d=3.78491e-12 t=20166
dou bu zai 	都不在	c=1 d=3.25604e-06 t=20166
dou bu zhi dao 	都不知道	c=2 d=3.55529e-11 t=20166
dou dei 	都得	c=1 d=4.90276e-27 t=20166
dou hai hao 	都還好	c=1 d=0.00165327 t=20166
dou hao 	都好	c=1 d=2.41e-25 t=20166
dou he 	鬥合	c=1 d=5.80237e-09 t=20166
dou hui 	都會	c=1 d=0.00113061 t=20166
dou hui zai 	都會在	c=1 d=3.83806e-29 t=20166
dou jie jue 	都解決	c=1 d=4.71709e-14 t=20166
